info,to_margin,ypp_margin,yds_margin,result
Central Arkansas @ Western Kentucky: 35-28,2,-0.72,64,0
Incarnate Word @ UT San Antonio: 7-35,1,1.89,281,1
VMI @ Marshall: 17-56,1,3.77,359,1
Alcorn State @ Southern Mississippi: 10-38,0,3.32,170,1
Houston Baptist @ UTEP: 34-36,1,1.88,95,1
Marshall @ Boise State: 7-14,0,1.4,265,1
UAB @ Akron: 31-20,1,-1.55,-9,0
Grambling @ Louisiana Tech: 14-20,-1,0.91,-65,1
Western Kentucky @ Florida International: 20-14,-2,-1.59,-122,0
Tennessee State @ Middle Tennessee: 26-45,0,4.2,138,1
North Texas @ SMU: 27-49,0,2.24,107,1
UCF @ Florida Atlantic: 48-14,1,-4.96,-260,0
Charlotte @ Appalachian State: 41-56,-2,0.26,-75,1
UMass @ Charlotte: 17-52,-1,5.36,271,1
Florida Atlantic @ Ball State: 41-31,2,0.63,-28,0
Army @ UT San Antonio: 31-13,1,-1.95,-98,0
Louisiana Tech @ Bowling Green: 35-7,-1,-3.25,-163,0
Ohio @ Marshall: 31-33,-1,-0.78,73,1
Southern Mississippi @ Troy: 47-42,0,0.82,-98,0
New Hampshire @ Florida International: 17-30,1,-0.55,-67,1
Florida International @ Louisiana Tech: 31-43,-1,-1.12,39,1
Florida Atlantic @ Charlotte: 45-27,2,-1.88,-221,0
Cincinnati @ Marshall: 52-14,-1,-2.48,-269,0
East Carolina @ Old Dominion: 24-21,0,-1.48,-18,0
UAB @ Western Kentucky: 13-20,-3,-0.07,-76,1
UTEP @ Southern Mississippi: 13-31,1,2.44,225,1
Louisiana Tech @ Rice: 23-20,1,-0.25,44,0
Houston @ North Texas: 46-25,0,-1.59,97,0
Marshall @ Middle Tennessee: 13-24,-4,-1.06,-177,1
South Alabama @ UAB: 3-35,2,3.0,324,1
Wagner @ Florida Atlantic: 7-42,-1,4.09,335,1
UT San Antonio @ North Texas: 3-45,-4,3.56,206,1
Nevada @ UTEP: 37-21,1,-2.49,-125,0
Old Dominion @ Marshall: 17-31,0,1.73,238,1
Middle Tennessee @ Florida Atlantic: 13-28,-3,-1.34,-95,1
UAB @ UT San Antonio: 33-14,0,-3.41,-272,0
Army @ Western Kentucky: 8-17,0,0.17,157,1
