info,to_margin,ypp_margin,yds_margin,result
Colorado @ California: 21-33,-5,-0.89,-107,1
USC @ UCLA: 27-34,-1,-0.89,30,1
Notre Dame @ USC: 24-17,1,-0.85,-30,0
Oregon State @ Washington: 23-42,-2,2.39,140,1
BYU @ Utah: 27-35,0,-0.14,-61,1
Oregon @ Utah: 25-32,-1,0.2,89,1
Utah @ Colorado: 30-7,3,-2.65,-194,0
Prairie View @ Rice: 28-31,-1,-1.37,13,1
Savannah State @ UAB: 0-52,0,3.37,370,1
Marshall @ Miami (OH): 35-28,0,0.18,1,0
Old Dominion @ Liberty: 10-52,-1,3.76,290,1
